Country,Demographics Question,Demographics Response,Question,Survey Year,Value
60,Education,Higher,... if she burns the food,2017,19.2
60,Education,No education,... if she burns the food,2017,41.7
60,Education,Primary,... if she burns the food,2017,40.2
60,Education,Secondary,... if she burns the food,2017,31.1
60,Education,Higher,... if she goes out without telling him,2017,36.2
60,Education,No education,... if she goes out without telling him,2017,61.6
60,Education,Primary,... if she goes out without telling him,2017,59.0
60,Education,Secondary,... if she goes out without telling him,2017,54.1
60,Education,Higher,... if she neglects the children,2017,36.6
60,Education,No education,... if she neglects the children,2017,58.3
60,Education,Primary,... if she neglects the children,2017,56.8
60,Education,Secondary,... if she neglects the children,2017,52.4
60,Education,Higher,... if she refuses to have sex with him,2017,16.5
60,Education,No education,... if she refuses to have sex with him,2017,41.7
60,Education,Primary,... if she refuses to have sex with him,2017,32.4
60,Education,Secondary,... if she refuses to have sex with him,2017,28.3
61,Education,Higher,... for at least one specific reason,2015,10.4
61,Education,No education,... for at least one specific reason,2015,65.0
61,Education,Primary,... for at least one specific reason,2015,62.2
61,Education,Secondary,... for at least one specific reason,2015,44.7
61,Education,Higher,... if she argues with him,2015,1.9
61,Education,No education,... if she argues with him,2015,51.1
61,Education,Primary,... if she argues with him,2015,45.6
61,Education,Secondary,... if she argues with him,2015,28.2
61,Education,Higher,... if she burns the food,2015,0.3
61,Education,No education,... if she burns the food,2015,29.3
61,Education,Primary,... if she burns the food,2015,22.7
61,Education,Secondary,... if she burns the food,2015,8.2
61,Education,Higher,... if she goes out without telling him,2015,2.4
61,Education,No education,... if she goes out without telling him,2015,51.3
61,Education,Primary,... if she goes out without telling him,2015,44.5
61,Education,Secondary,... if she goes out without telling him,2015,26.3
61,Education,Higher,... if she neglects the children,2015,9.9
61,Education,No education,... if she neglects the children,2015,55.4
61,Education,Primary,... if she neglects the children,2015,51.2
61,Education,Secondary,... if she neglects the children,2015,35.9
61,Education,Higher,... if she refuses to have sex with him,2015,1.2
61,Education,No education,... if she refuses to have sex with him,2015,41.9
61,Education,Primary,... if she refuses to have sex with him,2015,34.1
61,Education,Secondary,... if she refuses to have sex with him,2015,14.5
62,Education,Higher,... for at least one specific reason,2016,74.6
62,Education,No education,... for at least one specific reason,2016,77.1
62,Education,Primary,... for at least one specific reason,2016,74.0
62,Education,Secondary,... for at least one specific reason,2016,72.6
62,Education,Higher,... if she argues with him,2016,58.3
62,Education,No education,... if she argues with him,2016,64.0
62,Education,Primary,... if she argues with him,2016,60.1
62,Education,Secondary,... if she argues with him,2016,59.1
62,Education,Higher,... if she burns the food,2016,23.7
62,Education,No education,... if she burns the food,2016,37.1
62,Education,Primary,... if she burns the food,2016,37.4
62,Education,Secondary,... if she burns the food,2016,29.7
62,Education,Higher,... if she goes out without telling him,2016,63.8
62,Education,No education,... if she goes out without telling him,2016,69.6
62,Education,Primary,... if she goes out without telling him,2016,64.1
62,Education,Secondary,... if she goes out without telling him,2016,62.5
62,Education,Higher,... if she neglects the children,2016,63.6
62,Education,No education,... if she neglects the children,2016,66.5
62,Education,Primary,... if she neglects the children,2016,62.5
62,Education,Secondary,... if she neglects the children,2016,61.1
62,Education,Higher,... if she refuses to have sex with him,2016,30.9
62,Education,No education,... if she refuses to have sex with him,2016,42.0
62,Education,Primary,... if she refuses to have sex with him,2016,40.5
62,Education,Secondary,... if she refuses to have sex with him,2016,32.5
63,Education,Higher,... for at least one specific reason,2013,8.8
63,Education,No education,... for at least one specific reason,2013,38.4
63,Education,Primary,... for at least one specific reason,2013,27.5
63,Education,Secondary,... for at least one specific reason,2013,22.4
63,Education,Higher,... if she argues with him,2013,4.8
63,Education,No education,... if she argues with him,2013,26.4
63,Education,Primary,... if she argues with him,2013,18.8
63,Education,Secondary,... if she argues with him,2013,14.9
63,Education,Higher,... if she burns the food,2013,3.4
63,Education,No education,... if she burns the food,2013,17.7
63,Education,Primary,... if she burns the food,2013,9.7
63,Education,Secondary,... if she burns the food,2013,7.2
63,Education,Higher,... if she goes out without telling him,2013,4.3
63,Education,No education,... if she goes out without telling him,2013,24.8
63,Education,Primary,... if she goes out without telling him,2013,17.0
63,Education,Secondary,... if she goes out without telling him,2013,13.1
63,Education,Higher,... if she neglects the children,2013,4.5
63,Education,No education,... if she neglects the children,2013,27.2
63,Education,Primary,... if she neglects the children,2013,17.5
63,Education,Secondary,... if she neglects the children,2013,13.6
63,Education,Higher,... if she refuses to have sex with him,2013,0.8
63,Education,No education,... if she refuses to have sex with him,2013,16.5
63,Education,Primary,... if she refuses to have sex with him,2013,8.1
63,Education,Secondary,... if she refuses to have sex with him,2013,5.1
64,Education,Higher,... for at least one specific reason,2013,3.7
64,Education,No education,... for at least one specific reason,2013,37.0
64,Education,Primary,... for at least one specific reason,2013,17.8
64,Education,Secondary,... for at least one specific reason,2013,9.6
64,Education,Higher,... if she argues with him,2013,1.4
64,Education,No education,... if she argues with him,2013,18.9
64,Education,Primary,... if she argues with him,2013,8.4
64,Education,Secondary,... if she argues with him,2013,4.2
64,Education,Higher,... if she burns the food,2013,0.1
64,Education,No education,... if she burns the food,2013,6.7
64,Education,Primary,... if she burns the food,2013,1.1
64,Education,Secondary,... if she burns the food,2013,0.6
64,Education,Higher,... if she goes out without telling him,2013,0.6
64,Education,No education,... if she goes out without telling him,2013,16.7
64,Education,Primary,... if she goes out without telling him,2013,6.1
64,Education,Secondary,... if she goes out without telling him,2013,2.3
64,Education,Higher,... if she neglects the children,2013,2.6
64,Education,No education,... if she neglects the children,2013,25.3
64,Education,Primary,... if she neglects the children,2013,12.3
64,Education,Secondary,... if she neglects the children,2013,5.6
64,Education,Higher,... if she refuses to have sex with him,2013,0.5
64,Education,No education,... if she refuses to have sex with him,2013,10.9
64,Education,Primary,... if she refuses to have sex with him,2013,3.2
64,Education,Secondary,... if she refuses to have sex with him,2013,1.2
65,Education,Higher,... for at least one specific reason,2000,30.3
65,Education,No education,... for at least one specific reason,2000,61.3
65,Education,Primary,... for at least one specific reason,2000,56.8
65,Education,Secondary,... for at least one specific reason,2000,53.2
65,Education,Higher,... if she argues with him,2000,15.4
65,Education,No education,... if she argues with him,2000,44.7
65,Education,Primary,... if she argues with him,2000,35.8
65,Education,Secondary,... if she argues with him,2000,35.0
65,Education,Higher,... if she burns the food,2000,8.0
65,Education,No education,... if she burns the food,2000,32.7
65,Education,Primary,... if she burns the food,2000,26.3
65,Education,Secondary,... if she burns the food,2000,22.7
65,Education,Higher,... if she goes out without telling him,2000,20.3
65,Education,No education,... if she goes out without telling him,2000,57.8
65,Education,Primary,... if she goes out without telling him,2000,49.6
65,Education,Secondary,... if she goes out without telling him,2000,41.5
65,Education,Higher,... if she neglects the children,2000,23.4
65,Education,No education,... if she neglects the children,2000,47.7
65,Education,Primary,... if she neglects the children,2000,44.6
65,Education,Secondary,... if she neglects the children,2000,45.1
65,Education,Higher,... if she refuses to have sex with him,2000,6.6
65,Education,No education,... if she refuses to have sex with him,2000,34.1
65,Education,Primary,... if she refuses to have sex with him,2000,29.9
65,Education,Secondary,... if she refuses to have sex with him,2000,21.9
66,Education,Higher,... for at least one specific reason,2016,21.7
66,Education,No education,... for at least one specific reason,2016,55.2
66,Education,Primary,... for at least one specific reason,2016,54.4
66,Education,Secondary,... for at least one specific reason,2016,42.9
66,Education,Higher,... if she argues with him,2016,7.8
66,Education,No education,... if she argues with him,2016,33.6
66,Education,Primary,... if she argues with him,2016,30.2
66,Education,Secondary,... if she argues with him,2016,19.7
66,Education,Higher,... if she burns the food,2016,3.1
66,Education,No education,... if she burns the food,2016,18.3
66,Education,Primary,... if she burns the food,2016,16.4
66,Education,Secondary,... if she burns the food,2016,8.9
66,Education,Higher,... if she goes out without telling him,2016,9.5
66,Education,No education,... if she goes out without telling him,2016,34.8
66,Education,Primary,... if she goes out without telling him,2016,34.3
66,Education,Secondary,... if she goes out without telling him,2016,24.8
66,Education,Higher,... if she neglects the children,2016,17.7
66,Education,No education,... if she neglects the children,2016,43.6
66,Education,Primary,... if she neglects the children,2016,42.8
66,Education,Secondary,... if she neglects the children,2016,33.2
66,Education,Higher,... if she refuses to have sex with him,2016,4.0
66,Education,No education,... if she refuses to have sex with him,2016,24.6
66,Education,Primary,... if she refuses to have sex with him,2016,22.1
66,Education,Secondary,... if she refuses to have sex with him,2016,10.7
67,Education,Higher,... for at least one specific reason,2007,2.7
67,Education,No education,... for at least one specific reason,2007,16.1
67,Education,Primary,... for at least one specific reason,2007,16.1
67,Education,Secondary,... for at least one specific reason,2007,4.9
67,Education,Higher,... if she argues with him,2007,0.6
67,Education,No education,... if she argues with him,2007,16.1
67,Education,Primary,... if she argues with him,2007,16.1
67,Education,Secondary,... if she argues with him,2007,1.4
67,Education,Higher,... if she burns the food,2007,0.1
67,Education,No education,... if she burns the food,2007,16.1
67,Education,Primary,... if she burns the food,2007,16.1
67,Education,Secondary,... if she burns the food,2007,0.2
67,Education,Higher,... if she goes out without telling him,2007,0.3
67,Education,No education,... if she goes out without telling him,2007,16.1
67,Education,Primary,... if she goes out without telling him,2007,16.1
67,Education,Secondary,... if she goes out without telling him,2007,0.7
67,Education,Higher,... if she neglects the children,2007,2.4
67,Education,No education,... if she neglects the children,2007,16.1
67,Education,Primary,... if she neglects the children,2007,16.1
67,Education,Secondary,... if she neglects the children,2007,4.1
67,Education,Higher,... if she refuses to have sex with him,2007,0.3
67,Education,No education,... if she refuses to have sex with him,2007,16.1
67,Education,Primary,... if she refuses to have sex with him,2007,16.1
67,Education,Secondary,... if she refuses to have sex with him,2007,0.8
68,Education,Higher,... for at least one specific reason,2013,22.9
68,Education,No education,... for at least one specific reason,2013,57.6
68,Education,Primary,... for at least one specific reason,2013,48.4
68,Education,Secondary,... for at least one specific reason,2013,35.4
68,Education,Higher,... if she argues with him,2013,4.8
68,Education,No education,... if she argues with him,2013,27.3
68,Education,Primary,... if she argues with him,2013,18.4
68,Education,Secondary,... if she argues with him,2013,8.9
68,Education,Higher,... if she burns the food,2013,1.3
68,Education,No education,... if she burns the food,2013,14.3
68,Education,Primary,... if she burns the food,2013,8.2
68,Education,Secondary,... if she burns the food,2013,3.5
68,Education,Higher,... if she goes out without telling him,2013,11.0
68,Education,No education,... if she goes out without telling him,2013,44.7
68,Education,Primary,... if she goes out without telling him,2013,35.1
68,Education,Secondary,... if she goes out without telling him,2013,20.9
68,Education,Higher,... if she neglects the children,2013,9.6
68,Education,No education,... if she neglects the children,2013,37.6
68,Education,Primary,... if she neglects the children,2013,29.8
68,Education,Secondary,... if she neglects the children,2013,17.4
68,Education,Higher,... if she refuses to have sex with him,2013,12.3
68,Education,No education,... if she refuses to have sex with him,2013,42.0
68,Education,Primary,... if she refuses to have sex with him,2013,30.2
68,Education,Secondary,... if she refuses to have sex with him,2013,19.4
69,Education,Higher,... for at least one specific reason,2013,15.0
69,Education,No education,... for at least one specific reason,2013,54.1
69,Education,Primary,... for at least one specific reason,2013,54.6
69,Education,Secondary,... for at least one specific reason,2013,40.3
69,Education,Higher,... if she argues with him,2013,6.2
69,Education,No education,... if she argues with him,2013,40.2
69,Education,Primary,... if she argues with him,2013,40.5
69,Education,Secondary,... if she argues with him,2013,27.3
69,Education,Higher,... if she burns the food,2013,2.5
69,Education,No education,... if she burns the food,2013,32.3
69,Education,Primary,... if she burns the food,2013,29.5
69,Education,Secondary,... if she burns the food,2013,17.3
69,Education,Higher,... if she goes out without telling him,2013,7.0
69,Education,No education,... if she goes out without telling him,2013,33.8
69,Education,Primary,... if she goes out without telling him,2013,35.9
69,Education,Secondary,... if she goes out without telling him,2013,24.5
69,Education,Higher,... if she neglects the children,2013,10.5
69,Education,No education,... if she neglects the children,2013,37.2
69,Education,Primary,... if she neglects the children,2013,38.8
69,Education,Secondary,... if she neglects the children,2013,28.4
69,Education,Higher,... if she refuses to have sex with him,2013,3.5
69,Education,No education,... if she refuses to have sex with him,2013,39.2
69,Education,Primary,... if she refuses to have sex with him,2013,36.7
69,Education,Secondary,... if she refuses to have sex with him,2013,20.8
70,Education,Higher,... for at least one specific reason,2015,10.0
70,Education,No education,... for at least one specific reason,2015,55.2
70,Education,Primary,... for at least one specific reason,2015,48.9
70,Education,Secondary,... for at least one specific reason,2015,37.6
70,Education,Higher,... if she argues with him,2015,2.4
70,Education,No education,... if she argues with him,2015,26.4
70,Education,Primary,... if she argues with him,2015,25.5
70,Education,Secondary,... if she argues with him,2015,14.7
70,Education,Higher,... if she burns the food,2015,1.1
70,Education,No education,... if she burns the food,2015,17.0
70,Education,Primary,... if she burns the food,2015,12.1
70,Education,Secondary,... if she burns the food,2015,7.1
70,Education,Higher,... if she goes out without telling him,2015,2.9
70,Education,No education,... if she goes out without telling him,2015,35.0
70,Education,Primary,... if she goes out without telling him,2015,31.2
70,Education,Secondary,... if she goes out without telling him,2015,21.6
70,Education,Higher,... if she neglects the children,2015,4.6
70,Education,No education,... if she neglects the children,2015,33.3
70,Education,Primary,... if she neglects the children,2015,26.3
70,Education,Secondary,... if she neglects the children,2015,21.1
70,Education,Higher,... if she refuses to have sex with him,2015,3.9
70,Education,No education,... if she refuses to have sex with him,2015,28.5
70,Education,Primary,... if she refuses to have sex with him,2015,22.1
70,Education,Secondary,... if she refuses to have sex with him,2015,12.4
1,Age,15-24,... if she burns the food,2015,17.3
1,Age,25-34,... if she burns the food,2015,18.2
1,Age,35-49,... if she burns the food,2015,18.8
1,Age,15-24,... for at least one specific reason,2015,80.1
1,Age,25-34,... for at least one specific reason,2015,81.5
1,Age,35-49,... for at least one specific reason,2015,79.0
1,Age,15-24,... if she argues with him,2015,57.5
1,Age,25-34,... if she argues with him,2015,60.0
1,Age,35-49,... if she argues with him,2015,59.8
1,Age,15-24,... if she goes out without telling him,2015,67.7
1,Age,25-34,... if she goes out without telling him,2015,68.5
1,Age,35-49,... if she goes out without telling him,2015,64.7
1,Age,15-24,... if she neglects the children,2015,46.5
1,Age,25-34,... if she neglects the children,2015,50.2
1,Age,35-49,... if she neglects the children,2015,48.1
1,Age,15-24,... if she refuses to have sex with him,2015,32.1
1,Age,25-34,... if she refuses to have sex with him,2015,34.3
1,Age,35-49,... if she refuses to have sex with him,2015,33.5
2,Age,15-24,... if she burns the food,2017,0.6
2,Age,25-34,... if she burns the food,2017,0.8
2,Age,35-49,... if she burns the food,2017,1.0
2,Age,15-24,... for at least one specific reason,2017,4.7
2,Age,25-34,... for at least one specific reason,2017,6.9
2,Age,35-49,... for at least one specific reason,2017,8.2
2,Age,15-24,... if she argues with him,2017,1.0
2,Age,25-34,... if she argues with him,2017,1.7
2,Age,35-49,... if she argues with him,2017,2.4
2,Age,15-24,... if she goes out without telling him,2017,2.0
2,Age,25-34,... if she goes out without telling him,2017,3.7
2,Age,35-49,... if she goes out without telling him,2017,4.8
2,Age,15-24,... if she neglects the children,2017,3.5
2,Age,25-34,... if she neglects the children,2017,5.4
2,Age,35-49,... if she neglects the children,2017,6.3
2,Age,15-24,... if she refuses to have sex with him,2017,0.6
2,Age,25-34,... if she refuses to have sex with him,2017,1.1
2,Age,35-49,... if she refuses to have sex with him,2017,1.0
3,Age,25-34,... if she burns the food,2015,10.0
3,Age,15-24,... if she burns the food,2015,10.6
3,Age,35-49,... if she burns the food,2015,11.0
3,Age,15-24,... for at least one specific reason,2015,24.9
3,Age,25-34,... for at least one specific reason,2015,24.4
3,Age,35-49,... for at least one specific reason,2015,26.6
3,Age,15-24,... if she argues with him,2015,14.9
3,Age,25-34,... if she argues with him,2015,14.1
3,Age,35-49,... if she argues with him,2015,17.1
3,Age,15-24,... if she goes out without telling him,2015,13.8
3,Age,25-34,... if she goes out without telling him,2015,14.0
3,Age,35-49,... if she goes out without telling him,2015,16.3
3,Age,15-24,... if she neglects the children,2015,16.5
3,Age,25-34,... if she neglects the children,2015,15.6
3,Age,35-49,... if she neglects the children,2015,16.7
3,Age,15-24,... if she refuses to have sex with him,2015,10.0
3,Age,25-34,... if she refuses to have sex with him,2015,11.6
3,Age,35-49,... if she refuses to have sex with him,2015,14.0
4,Age,15-24,... if she burns the food,2015,0.3
4,Age,25-34,... if she burns the food,2015,0.4
4,Age,35-49,... if she burns the food,2015,0.4
4,Age,15-24,... for at least one specific reason,2015,8.7
4,Age,25-34,... for at least one specific reason,2015,10.4
4,Age,35-49,... for at least one specific reason,2015,10.8
4,Age,15-24,... if she argues with him,2015,5.1
4,Age,25-34,... if she argues with him,2015,6.4
4,Age,35-49,... if she argues with him,2015,6.5
4,Age,15-24,... if she goes out without telling him,2015,4.7
4,Age,25-34,... if she goes out without telling him,2015,5.5
4,Age,35-49,... if she goes out without telling him,2015,5.3
4,Age,15-24,... if she neglects the children,2015,7.1
4,Age,25-34,... if she neglects the children,2015,8.9
4,Age,35-49,... if she neglects the children,2015,9.4
4,Age,15-24,... if she refuses to have sex with him,2015,0.6
4,Age,25-34,... if she refuses to have sex with him,2015,0.9
4,Age,35-49,... if she refuses to have sex with him,2015,0.8
5,Age,15-24,... if she burns the food,2006,10.7
5,Age,25-34,... if she burns the food,2006,12.8
5,Age,35-49,... if she burns the food,2006,12.9
5,Age,15-24,... for at least one specific reason,2006,43.7
5,Age,25-34,... for at least one specific reason,2006,52.0
5,Age,35-49,... for at least one specific reason,2006,51.5
5,Age,15-24,... if she argues with him,2006,27.9
5,Age,25-34,... if she argues with him,2006,33.2
5,Age,35-49,... if she argues with him,2006,32.9
5,Age,15-24,... if she goes out without telling him,2006,36.9
5,Age,25-34,... if she goes out without telling him,2006,46.1
5,Age,35-49,... if she goes out without telling him,2006,44.9
5,Age,15-24,... if she neglects the children,2006,30.9
5,Age,25-34,... if she neglects the children,2006,35.8
5,Age,35-49,... if she neglects the children,2006,36.9
5,Age,15-24,... if she refuses to have sex with him,2006,11.7
5,Age,25-34,... if she refuses to have sex with him,2006,15.3
5,Age,35-49,... if she refuses to have sex with him,2006,15.6
6,Age,15-24,... if she burns the food,2014,3.6
6,Age,25-34,... if she burns the food,2014,4.1
6,Age,35-49,... if she burns the food,2014,5.2
6,Age,15-24,... for at least one specific reason,2014,27.9
6,Age,25-34,... for at least one specific reason,2014,27.7
6,Age,35-49,... for at least one specific reason,2014,29.2
6,Age,15-24,... if she argues with him,2014,19.8
6,Age,25-34,... if she argues with him,2014,19.3
6,Age,35-49,... if she argues with him,2014,20.7
6,Age,15-24,... if she goes out without telling him,2014,13.9
6,Age,25-34,... if she goes out without telling him,2014,13.7
6,Age,35-49,... if she goes out without telling him,2014,15.6
6,Age,15-24,... if she neglects the children,2014,14.6
6,Age,25-34,... if she neglects the children,2014,14.7
6,Age,35-49,... if she neglects the children,2014,15.4
6,Age,15-24,... if she refuses to have sex with him,2014,5.9
6,Age,25-34,... if she refuses to have sex with him,2014,7.4
6,Age,35-49,... if she refuses to have sex with him,2014,8.1
7,Age,15-24,... if she burns the food,2017,13.2
7,Age,25-34,... if she burns the food,2017,13.4
7,Age,35-49,... if she burns the food,2017,15.5
7,Age,15-24,... for at least one specific reason,2017,29.8
7,Age,25-34,... for at least one specific reason,2017,32.7
7,Age,35-49,... for at least one specific reason,2017,33.7
7,Age,15-24,... if she argues with him,2017,19.1
7,Age,25-34,... if she argues with him,2017,21.7
7,Age,35-49,... if she argues with him,2017,22.3
7,Age,15-24,... if she goes out without telling him,2017,18.7
7,Age,25-34,... if she goes out without telling him,2017,22.2
7,Age,35-49,... if she goes out without telling him,2017,23.7
7,Age,15-24,... if she neglects the children,2017,20.5
7,Age,25-34,... if she neglects the children,2017,23.5
7,Age,35-49,... if she neglects the children,2017,24.5
7,Age,15-24,... if she refuses to have sex with him,2017,11.4
7,Age,25-34,... if she refuses to have sex with him,2017,12.9
7,Age,35-49,... if she refuses to have sex with him,2017,14.5
8,Age,25-34,... if she burns the food,2008,2.6
8,Age,15-24,... if she burns the food,2008,3.4
8,Age,35-49,... if she burns the food,2008,3.8
8,Age,15-24,... for at least one specific reason,2008,15.6
8,Age,25-34,... for at least one specific reason,2008,15.0
8,Age,35-49,... for at least one specific reason,2008,17.6
8,Age,15-24,... if she argues with him,2008,5.0
8,Age,25-34,... if she argues with him,2008,5.0
8,Age,35-49,... if she argues with him,2008,5.7
8,Age,15-24,... if she goes out without telling him,2008,5.3
8,Age,25-34,... if she goes out without telling him,2008,5.2
8,Age,35-49,... if she goes out without telling him,2008,7.3
8,Age,15-24,... if she neglects the children,2008,11.9
8,Age,25-34,... if she neglects the children,2008,11.7
8,Age,35-49,... if she neglects the children,2008,13.2
8,Age,15-24,... if she refuses to have sex with him,2008,1.8
8,Age,25-34,... if she refuses to have sex with him,2008,2.1
8,Age,35-49,... if she refuses to have sex with him,2008,2.9
9,Age,15-24,... if she burns the food,2010,9.2
9,Age,25-34,... if she burns the food,2010,9.4
9,Age,35-49,... if she burns the food,2010,11.0
9,Age,15-24,... for at least one specific reason,2010,40.8
9,Age,25-34,... for at least one specific reason,2010,43.0
9,Age,35-49,... for at least one specific reason,2010,47.6
9,Age,15-24,... if she argues with him,2010,28.3
9,Age,25-34,... if she argues with him,2010,30.2
9,Age,35-49,... if she argues with him,2010,35.0
9,Age,15-24,... if she goes out without telling him,2010,27.4
9,Age,25-34,... if she goes out without telling him,2010,29.9
9,Age,35-49,... if she goes out without telling him,2010,34.6
9,Age,15-24,... if she neglects the children,2010,27.9
9,Age,25-34,... if she neglects the children,2010,29.6
9,Age,35-49,... if she neglects the children,2010,34.6
9,Age,15-24,... if she refuses to have sex with him,2010,17.7
9,Age,25-34,... if she refuses to have sex with him,2010,19.6
9,Age,35-49,... if she refuses to have sex with him,2010,22.3
10,Age,35-49,... if she burns the food,2016,20.4
10,Age,25-34,... if she burns the food,2016,20.5
10,Age,15-24,... if she burns the food,2016,24.3
10,Age,15-24,... for at least one specific reason,2016,62.7
10,Age,25-34,... for at least one specific reason,2016,61.1
10,Age,35-49,... for at least one specific reason,2016,61.2
10,Age,15-24,... if she argues with him,2016,30.5
10,Age,25-34,... if she argues with him,2016,29.3
10,Age,35-49,... if she argues with him,2016,30.4
10,Age,15-24,... if she goes out without telling him,2016,39.8
10,Age,25-34,... if she goes out without telling him,2016,38.3
10,Age,35-49,... if she goes out without telling him,2016,39.4
10,Age,15-24,... if she neglects the children,2016,52.7
10,Age,25-34,... if she neglects the children,2016,51.2
10,Age,35-49,... if she neglects the children,2016,51.0
10,Age,15-24,... if she refuses to have sex with him,2016,40.9
10,Age,25-34,... if she refuses to have sex with him,2016,41.3
10,Age,35-49,... if she refuses to have sex with him,2016,43.7
11,Age,15-24,... if she burns the food,2014,9.4
11,Age,25-34,... if she burns the food,2014,10.1
11,Age,35-49,... if she burns the food,2014,15.8
11,Age,15-24,... for at least one specific reason,2014,44.9
11,Age,25-34,... for at least one specific reason,2014,48.7
11,Age,35-49,... for at least one specific reason,2014,56.1
11,Age,15-24,... if she argues with him,2014,20.2
11,Age,25-34,... if she argues with him,2014,21.7
11,Age,35-49,... if she argues with him,2014,29.9
11,Age,15-24,... if she goes out without telling him,2014,25.3
11,Age,25-34,... if she goes out without telling him,2014,30.3
11,Age,35-49,... if she goes out without telling him,2014,38.5
11,Age,15-24,... if she neglects the children,2014,39.0
11,Age,25-34,... if she neglects the children,2014,43.5
11,Age,35-49,... if she neglects the children,2014,48.7
11,Age,15-24,... if she refuses to have sex with him,2014,8.9
11,Age,25-34,... if she refuses to have sex with him,2014,11.0
11,Age,35-49,... if she refuses to have sex with him,2014,18.6
12,Age,25-34,... if she burns the food,2011,12.0
12,Age,35-49,... if she burns the food,2011,14.1
12,Age,15-24,... if she burns the food,2011,14.4
12,Age,15-24,... for at least one specific reason,2011,48.9
12,Age,25-34,... for at least one specific reason,2011,43.5
12,Age,35-49,... for at least one specific reason,2011,45.8
12,Age,15-24,... if she argues with him,2011,20.5
12,Age,25-34,... if she argues with him,2011,20.0
12,Age,35-49,... if she argues with him,2011,22.1
12,Age,15-24,... if she goes out without telling him,2011,26.0
12,Age,25-34,... if she goes out without telling him,2011,25.3
12,Age,35-49,... if she goes out without telling him,2011,28.9
12,Age,15-24,... if she neglects the children,2011,39.6
12,Age,25-34,... if she neglects the children,2011,34.9
12,Age,35-49,... if she neglects the children,2011,36.7
12,Age,15-24,... if she refuses to have sex with him,2011,12.4
12,Age,25-34,... if she refuses to have sex with him,2011,13.8
12,Age,35-49,... if she refuses to have sex with him,2011,17.1
13,Age,35-49,... if she burns the food,2014,47.4
13,Age,15-24,... if she burns the food,2014,47.7
13,Age,25-34,... if she burns the food,2014,50.5
13,Age,15-24,... for at least one specific reason,2014,72.2
13,Age,25-34,... for at least one specific reason,2014,76.1
13,Age,35-49,... for at least one specific reason,2014,72.5
13,Age,15-24,... if she argues with him,2014,47.8
13,Age,25-34,... if she argues with him,2014,52.0
13,Age,35-49,... if she argues with him,2014,50.1
13,Age,15-24,... if she goes out without telling him,2014,56.2
13,Age,25-34,... if she goes out without telling him,2014,62.3
13,Age,35-49,... if she goes out without telling him,2014,59.1
13,Age,15-24,... if she neglects the children,2014,57.9
13,Age,25-34,... if she neglects the children,2014,62.6
13,Age,35-49,... if she neglects the children,2014,59.0
13,Age,15-24,... if she refuses to have sex with him,2014,37.2
13,Age,25-34,... if she refuses to have sex with him,2014,43.3
13,Age,35-49,... if she refuses to have sex with him,2014,42.2
14,Age,25-34,... if she burns the food,2015,0.8
14,Age,15-24,... if she burns the food,2015,1.2
14,Age,35-49,... if she burns the food,2015,1.4
14,Age,15-24,... for at least one specific reason,2015,3.2
14,Age,25-34,... for at least one specific reason,2015,2.7
14,Age,35-49,... for at least one specific reason,2015,3.4
14,Age,15-24,... if she argues with him,2015,1.3
14,Age,25-34,... if she argues with him,2015,1.0
14,Age,35-49,... if she argues with him,2015,1.4
14,Age,15-24,... if she goes out without telling him,2015,1.1
14,Age,25-34,... if she goes out without telling him,2015,1.1
14,Age,35-49,... if she goes out without telling him,2015,1.4
14,Age,15-24,... if she neglects the children,2015,2.3
14,Age,25-34,... if she neglects the children,2015,2.1
14,Age,35-49,... if she neglects the children,2015,2.7
14,Age,15-24,... if she refuses to have sex with him,2015,1.1
14,Age,25-34,... if she refuses to have sex with him,2015,0.8
14,Age,35-49,... if she refuses to have sex with him,2015,1.3
15,Age,35-49,... if she burns the food,2012,10.0
15,Age,25-34,... if she burns the food,2012,11.6
15,Age,15-24,... if she burns the food,2012,15.1
15,Age,15-24,... for at least one specific reason,2012,42.5
15,Age,25-34,... for at least one specific reason,2012,36.0
15,Age,35-49,... for at least one specific reason,2012,36.6
15,Age,15-24,... if she argues with him,2012,18.1
15,Age,25-34,... if she argues with him,2012,14.2
15,Age,35-49,... if she argues with him,2012,13.4
15,Age,15-24,... if she goes out without telling him,2012,30.6
15,Age,25-34,... if she goes out without telling him,2012,26.4
15,Age,35-49,... if she goes out without telling him,2012,27.0
15,Age,15-24,... if she neglects the children,2012,32.9
15,Age,25-34,... if she neglects the children,2012,27.0
15,Age,35-49,... if she neglects the children,2012,27.7
15,Age,15-24,... if she refuses to have sex with him,2012,20.6
15,Age,25-34,... if she refuses to have sex with him,2012,19.9
15,Age,35-49,... if she refuses to have sex with him,2012,19.0
16,Age,15-24,... if she burns the food,2011,19.6
16,Age,25-34,... if she burns the food,2011,19.6
16,Age,35-49,... if she burns the food,2011,19.6
16,Age,15-24,... for at least one specific reason,2011,64.0
16,Age,25-34,... for at least one specific reason,2011,58.9
16,Age,35-49,... for at least one specific reason,2011,58.0
16,Age,15-24,... if she argues with him,2011,19.6
16,Age,25-34,... if she argues with him,2011,19.6
16,Age,35-49,... if she argues with him,2011,19.6
16,Age,15-24,... if she goes out without telling him,2011,42.8
16,Age,25-34,... if she goes out without telling him,2011,39.9
16,Age,35-49,... if she goes out without telling him,2011,39.2
16,Age,15-24,... if she neglects the children,2011,50.9
16,Age,25-34,... if she neglects the children,2011,44.9
